x;y;z
-0.700646;-0.700646;0.5
0.915438;0.379188;0.5
-0.550494;-0.823873;0.5
0.823872;0.550495;0.5
0.722034;-0.722033;0.6
0.849022;-0.567298;0.6
0.861131;-0.575389;0.7
0.732332;-0.732331;0.7
-0.849022;0.567298;0.6
-0.722033;0.722033;0.6
0;1.021109;0.6
0.199207;1.00149;0.6
0.567299;-0.849021;0.6
-0.943382;0.390762;0.6
-1.001489;0.199209;0.6
-1.021109;0;0.6
0.943383;-0.390761;0.6
-1.001489;-0.199209;0.6
1.00149;-0.199208;0.6
-0.943382;-0.390762;0.6
1.02111;0.000001;0.6
-0.849022;-0.567298;0.6
1.001489;0.19921;0.6
-0.722033;-0.722034;0.6
0.943382;0.390763;0.6
-0.567298;-0.849022;0.6
0.849021;0.567299;0.6
-0.390762;-0.943382;0.6
-0.199209;1.001489;0.6
0.722033;0.722034;0.6
-0.199208;-1.001489;0.6
-0.390762;0.943382;0.6
0.567297;0.849022;0.6
0;-1.02111;0.6
-0.567298;0.849021;0.6
0.39076;0.943383;0.6
1.015773;-0.202049;0.7
1.035673;0.000001;0.7
1.04165;0.000001;0.8
1.021635;-0.203215;0.8
-1.035673;0;0.7
-1.015773;0.20205;0.7
0.956838;-0.396334;0.7
-1.015773;-0.20205;0.7
-0.956837;-0.396335;0.7
-0.861131;-0.575389;0.7
1.015773;0.202051;0.7
-0.732332;-0.732332;0.7
0.956837;0.396336;0.7
-0.575389;-0.861131;0.7
0.86113;0.57539;0.7
-0.396335;-0.956838;0.7
-0.20205;1.015773;0.7
0;1.035673;0.7
0.732331;0.732332;0.7
-0.20205;-1.015773;0.7
-0.396335;0.956837;0.7
0.575388;0.861132;0.7
0;-1.035673;0.7
-0.575389;0.861131;0.7
0.396334;0.956838;0.7
0.20205;-1.015773;0.7
-0.732332;0.732332;0.7
0.202048;1.015773;0.7
0.396336;-0.956837;0.7
-0.861131;0.575389;0.7
0.57539;-0.861131;0.7
-0.956837;0.396335;0.7
0.962358;0.398623;0.8
0.866099;0.578711;0.8
0.866099;0.578711;0.9
0.962358;0.398623;0.9
-0.8661;-0.57871;0.8
-0.962359;-0.398622;0.8
1.021635;0.203217;0.8
-0.736558;-0.736558;0.8
-0.578709;-0.8661;0.8
-0.398622;-0.962359;0.8
-0.203216;1.021635;0.8
0;1.04165;0.8
0.736557;0.736558;0.8
-0.203216;-1.021635;0.8
-0.398622;0.962359;0.8
0.578708;0.866101;0.8
